file,caption,md5,referenced in
HuC_HuD_neuronal_protein_Unconjugated/HuC_HuD_Unconjugated_Thermo_A21271.jpg,"Human retina: HuC/HuD neuronal protein (magenta, catalog number A21271) and Hoechst (blue, catalog number 40046)",6c8a7eb12ae00f4f957355cd4fda0e3f,['HuC_HuD_neuronal_protein_Unconjugated/0000-0003-2088-8310.md']
CD23_AF532/Human_LN_CD23_CD106.jpg,"Human lymph node: CD23 (yellow, based on catalog number 338502) and CD106 (blue, catalog number 305806)",c90691a779d963a0d75c0f8b7dbce1a3,"['CD23_AF532/0000-0003-4379-8967.md', 'CD106_PE/0000-0003-4379-8967.md']"
CD23_AF532/CD23_LN_BioLegend_338502_Custom_Ki67_BDBiosciences_561277.jpg,"Human lymph node: CD23 (magenta, based on catalog number 338502) and Ki-67 (green, catalog number 561277)",27bc795ed582759ea8eb26485ac6db0d,"['CD23_AF532/0000-0003-4379-8967.md', 'Ki-67_AF700/0000-0003-4379-8967.md']"
CD94_AF488/CD94_AF488_BioLegend_305506_CD45_PEAF594_CapricoBiotech_1016185.jpg,"Human lymph node: CD94 (cyan, catalog number 305506) and CD45 (purple, catalog number 1016185)",bcd1a3899cc19a1c9defa227b65840d8,"['CD45_PE_iF594/0000-0003-4379-8967.md', 'CD94_AF488/0000-0003-4379-8967.md']"
DEC205_AF647/Mouse_Thymus_DEC205_SIRPa.jpg,"Mouse thymus: DEC205 (magenta, catalog number 138204) and SIRPalpha (cyan, catalog number 144024)",b022d81d859f4ad1d8be93775cfa8281,"['SIRPalpha_AF488/0000-0003-4379-8967.md', 'DEC205_AF647/0000-0003-4379-8967.md']"
CD54_AF647/Human_Liver_CD54_CD138.jpg,"Human liver: CD54 (cyan, catalog number 353114) and CD138 (purple, catalog number 356504)",4e32e4639d10e1cd22272df1bbb5c95b,"['CD54_AF647/0000-0003-4379-8967.md', 'CD138_PE/0000-0003-4379-8967.md']"
CD54_AF647/Human_Jejunum_Hoechst_CD54_Vimentin.jpg,"Human jejunum: Hoechst (blue, catalog number 40046), CD54 (green, catalog number 353114), and Vimentin (magenta, catalog number 677807)",1eb024dbdbc0cbac211dbae6dfbc1b4b,"['CD54_AF647/0000-0003-4379-8967.md', 'Vimentin_AF647/0000-0003-4379-8967.md']"
CD3_iF594/Spleen_CD3_iF594_CapricoBio_1053135_CD8_AF488_BioLegend_344716.jpeg,"Human spleen: CD8 (cyan, catalog number 344716) and CD3 (red, catalog number 1053135)",517196a18055a01710e9fde0a34fa9cd,"['CD3_iF594/0000-0003-4379-8967.md', 'CD8_AF488/0000-0003-4379-8967.md']"
CD69_AF647/CD69_AF647_BioLegend_310918_CD44_BioLegend_103018.jpg,"Human lymph node: CD69 (red, catalog number 310918) and CD44 (cyan, catalog number 103018)",bf41bccd2a762a14a10e43fdcc7c08ba,"['CD69_AF647/0000-0003-4379-8967.md', 'CD44_AF647/0000-0003-4379-8967.md']"
CD163_AF647/CD163_AF647_BioLegend_333620_CD20_AF488_Thermo_53-0202-82.jpg,"Human lymph node: CD163 (magenta, catalog number 333620) and CD20 (cyan, catalog number 53-0202-82)",2c1e121183c182e40f9d57f4874e965c,"['CD163_AF647/0000-0003-4379-8967.md', 'CD20_AF488/0000-0003-4379-8967.md']"
